Name;Team;Position;Heigth;Weigth;Age
Francisco Liriano;MIN;Point Guard;78.27;175.75;23.35
Scott Baker;MIN;Point Guard;80.38;209.95;25.45
Pat Neshek;MIN;Center;79.33;194.75;26.49
Glen Perkins;MIN;Center;75.10;190.00;24
Julio DePaula;MIN;Center;76.15;161.50;24.16
Juan Rincon;MIN;Center;75.10;190.95;28.1
Jesse Crain;MIN;Center;77.21;194.75;25.65
Matt Guerrier;MIN;Center;79.33;175.75;28.58
Joe Nathan;MIN;Center;80.38;194.75;32.27
Dennys Reyes;MIN;Center;79.33;232.75;29.86
Brayan Pe?a;ATL;Point Guard;75.10;209.00;25.14
Brian McCann;ATL;Point Guard;79.33;199.50;23.03
Craig Wilson;ATL;Center;78.27;209.00;30.25
Chris Woodward;ATL;Small Forward;76.15;175.75;30.67
Pete Orr;ATL;Small Forward;77.21;166.25;27.73
Martin Prado;ATL;Small Forward;77.21;161.50;23.34
Tony Pe?a;ATL;Power Forward;77.21;171.00;25.94
Edgar Renteria;ATL;Power Forward;77.21;190.00;31.56
Chipper Jones;ATL;Small Forward;80.38;199.50;34.85
Willy Aybar;ATL;Small Forward;76.15;166.25;23.98
Jeff Francoeur;ATL;Shooting Guard;80.38;209.00;23.14
Matt Diaz;ATL;Shooting Guard;77.21;195.70;28.99
Kelly Johnson;ATL;Shooting Guard;77.21;171.00;25.02
Andruw Jones;ATL;Shooting Guard;77.21;199.50;29.85
Ryan Langerhans;ATL;Shooting Guard;79.33;185.25;27.03
Scott Thorman;ATL;Shooting Guard;79.33;190.00;25.15
T.J. Bohn;ATL;Shooting Guard;81.44;190.00;27.12
Tim Hudson;ATL;Point Guard;77.21;155.80;31.63
Jonathan Johnson;ATL;Point Guard;76.15;171.00;32.62
John Smoltz;ATL;Point Guard;79.33;209.00;39.79
Mike Hampton;ATL;Point Guard;74.04;185.25;34.47
Kyle Davies;ATL;Point Guard;78.27;194.75;23.47
Chuck James;ATL;Point Guard;76.15;161.50;25.31
Phil Stockman;ATL;Center;84.62;228.00;27.1
Macay McBride;ATL;Center;75.10;199.50;24.35
Joey Devine;ATL;Center;75.10;185.25;23.45
Peter Moylan;ATL;Center;78.27;190.00;28.24
Mike Gonzalez;ATL;Center;78.27;194.75;28.77
Lance Cormier;ATL;Center;77.21;182.40;26.53
Blaine Boyer;ATL;Center;79.33;180.50;25.64
Manny Acosta;ATL;Center;80.38;161.50;25.83
Bob Wickman;ATL;Center;77.21;228.00;38.06
Tanyon Sturtze;ATL;Center;81.44;190.00;36.38
Oscar Villarreal;ATL;Center;76.15;194.75;25.27
Rafael Soriano;ATL;Center;77.21;166.25;27.2
Chad Paronto;ATL;Center;81.44;237.50;31.59
Tyler Yates;ATL;Center;80.38;209.00;29.56
Henry Blanco;CHC;Point Guard;75.10;212.80;35.5
Michael Barrett;CHC;Point Guard;79.33;199.50;30.35
Geovany Soto;CHC;Point Guard;77.21;185.25;24.11
Scott Moore;CHC;Center;78.27;171.00;23.29
Derrek Lee;CHC;Center;81.44;232.75;31.48
Ryan Theriot;CHC;Small Forward;75.10;166.25;27.23
Ronny Cedeno;CHC;Power Forward;76.15;171.00;24.07
Aramis Ramirez;CHC;Small Forward;77.21;204.25;28.68
Cesar Izturis;CHC;Small Forward;72.98;166.25;27.05
Alfonso Soriano;CHC;Shooting Guard;77.21;171.00;31.15
Jacque Jones;CHC;Shooting Guard;74.04;185.25;31.85
Daryle Ward;CHC;Shooting Guard;78.27;218.50;31.68
Cliff Floyd;CHC;Shooting Guard;80.38;218.50;34.23
Mark DeRosa;CHC;Shooting Guard;77.21;194.75;32.01
Matt Murton;CHC;Shooting Guard;77.21;204.25;25.41
Buck Coats;CHC;Shooting Guard;79.33;185.25;24.73
Angel Pagan;CHC;Shooting Guard;77.21;171.00;25.66
Sean Marshall;CHC;Point Guard;83.56;194.75;24.5
Carlos Marmol;CHC;Point Guard;78.27;171.00;24.38
Ryan O'Malley;CHC;Point Guard;77.21;180.50;26.89
Juan Mateo;CHC;Point Guard;78.27;171.00;24.2
Rich Hill;CHC;Point Guard;81.44;180.50;26.97
Angel Guzman;CHC;Point Guard;79.33;180.50;25.21
Wade Miller;CHC;Point Guard;78.27;209.00;30.46
Jason Marquis;CHC;Point Guard;77.21;199.50;28.53
Carlos Zambrano;CHC;Point Guard;81.44;242.25;25.75
Ted Lilly;CHC;Point Guard;77.21;180.50;31.15
Mark Prior;CHC;Point Guard;81.44;218.50;26.48
Neal Cotts;CHC;Center;78.27;190.00;26.93
Will Ohman;CHC;Center;78.27;194.75;29.55
Scott Eyre;CHC;Center;77.21;199.50;34.75
Kerry Wood;CHC;Center;81.44;213.75;29.71
Ryan Dempster;CHC;Center;78.27;204.25;29.83
Bob Howry;CHC;Center;81.44;209.00;33.57
Mike Wuertz;CHC;Center;79.33;194.75;28.21
Roberto Novoa;CHC;Center;81.44;190.00;27.54
Chris Snyder;ARZ;Point Guard;79.33;209.00;26.05
Miguel Montero;ARZ;Point Guard;75.10;187.15;23.64
Conor Jackson;ARZ;Center;78.27;213.75;24.82
Robby Hammock;ARZ;Center;74.04;177.65;29.8
Tony Clark;ARZ;Center;83.56;232.75;34.71
Orlando Hudson;ARZ;Small Forward;76.15;175.75;29.22
Stephen Drew;ARZ;Power Forward;76.15;175.75;23.96
Alberto Callaspo;ARZ;Power Forward;74.04;166.25;23.87
Chad Tracy;ARZ;Small Forward;78.27;190.00;26.77
Chris Young;ARZ;Shooting Guard;78.27;171.00;23.49
Scott Hairston;ARZ;Shooting Guard;76.15;178.60;26.77
Carlos Quentin;ARZ;Shooting Guard;77.21;213.75;24.51
Jeff DaVanon;ARZ;Shooting Guard;76.15;190.00;33.23
Eric Byrnes;ARZ;Shooting Guard;78.27;199.50;31.04
Livan Hernandez;ARZ;Point Guard;78.27;232.75;32.02
Doug Davis;ARZ;Point Guard;80.38;202.35;31.44
Randy Johnson;ARZ;Point Guard;86.73;219.45;43.47
Juan Cruz;ARZ;Point Guard;78.27;156.75;28.38
Brandon Webb;ARZ;Point Guard;78.27;216.60;27.81
Enrique Gonzalez;ARZ;Point Guard;74.04;199.50;24.57
Dana Eveland;ARZ;Point Guard;77.21;237.50;23.34
Brandon Medders;ARZ;Center;77.21;181.45;27.09
Tony Pe?a;ARZ;Center;78.27;180.50;25.14
Doug Slaten;ARZ;Center;81.44;190.00;27.07
Edgar Gonzalez;ARZ;Center;76.15;204.25;24.02
Jose Valverde;ARZ;Center;80.38;241.30;27.6
Jorge Julio;ARZ;Center;77.21;220.40;27.99
Brandon Lyon;ARZ;Center;77.21;171.00;27.56
Miguel Olivo;FLA;Point Guard;76.15;204.25;28.63
Matt Treanor;FLA;Point Guard;78.27;209.00;30.99
Mike Jacobs;FLA;Center;78.27;171.00;26.33
Dan Uggla;FLA;Small Forward;75.10;190.00;26.97
Robert Andino;FLA;Power Forward;76.15;161.50;22.85
Hanley Ramirez;FLA;Power Forward;79.33;185.25;23.19
Miguel Cabrera;FLA;Small Forward;78.27;199.50;23.87
Aaron Boone;FLA;Small Forward;78.27;190.00;33.98
Joe Borchard;FLA;Shooting Guard;81.44;209.00;28.26
Alfredo Amezaga;FLA;Shooting Guard;74.04;156.75;29.12
Cody Ross;FLA;Shooting Guard;75.10;171.00;26.18
Josh Willingham;FLA;Shooting Guard;77.21;190.00;28.03
Jeremy Hermida;FLA;Shooting Guard;80.38;190.00;23.08
Eric Reed;FLA;Shooting Guard;75.10;161.50;26.24
Reggi Abercrombie;FLA;Shooting Guard;79.33;212.80;26.63
Ricky Nolasco;FLA;Point Guard;78.27;209.00;24.21
Anibal Sanchez;FLA;Point Guard;76.15;171.00;23.01
Scott Olsen;FLA;Point Guard;80.38;188.10;23.13
Josh Johnson;FLA;Point Guard;83.56;228.00;23.08
Dontrelle Willis;FLA;Point Guard;80.38;227.05;25.13
Logan Kensing;FLA;Center;77.21;175.75;24.66
Sergio Mitre;FLA;Center;80.38;199.50;26.03
Kevin Gregg;FLA;Center;82.50;209.00;28.7
Travis Bowyer;FLA;Center;79.33;190.00;25.57
Renyel Pinto;FLA;Center;80.38;185.25;24.65
Randy Messenger;FLA;Center;76.15;209.00;25.55
Yusmeiro Petit;FLA;Center;76.15;218.50;22.27
Carlos Martinez;FLA;Center;77.21;161.50;24.76
Taylor Tankersley;FLA;Center;77.21;209.00;23.98
Henry Owens;FLA;Center;79.33;218.50;27.85
Jose Garcia;FLA;Center;75.10;156.75;22.14
Matt Lindstrom;FLA;Center;80.38;194.75;27.05
Javier Valentin;CIN;Point Guard;74.04;182.40;31.45
Chad Moeller;CIN;Point Guard;79.33;199.50;32.03
David Ross;CIN;Point Guard;78.27;194.75;29.95
Joey Votto;CIN;Center;79.33;190.00;23.47
Scott Hatteberg;CIN;Center;77.21;199.50;37.21
Brandon Phillips;CIN;Small Forward;75.10;175.75;25.67
Juan Castro;CIN;Power Forward;75.10;185.25;34.69
Alex Gonzalez;CIN;Power Forward;76.15;191.90;30.04
Mark Bellhorn;CIN;Small Forward;77.21;194.75;32.52
Edwin Encarnacion;CIN;Small Forward;77.21;185.25;24.15
Jeff Keppinger;CIN;Small Forward;76.15;171.00;26.86
Norris Hopper;CIN;Shooting Guard;72.98;190.00;27.94
Chris Denorfia;CIN;Shooting Guard;77.21;175.75;26.63
Adam Dunn;CIN;Shooting Guard;82.50;228.00;27.31
Bubba Crosby;CIN;Shooting Guard;75.10;175.75;30.55
Jeff Conine;CIN;Shooting Guard;77.21;209.00;40.68
Ken Griffey Jr.;CIN;Shooting Guard;79.33;194.75;37.27
Josh Hamilton;CIN;Shooting Guard;80.38;194.75;25.78
Ryan Freel;CIN;Shooting Guard;74.04;171.00;30.98
Kyle Lohse;CIN;Point Guard;78.27;190.95;28.41
Bronson Arroyo;CIN;Point Guard;81.44;180.50;30.01
Eric Milton;CIN;Point Guard;79.33;197.60;31.57
Aaron Harang;CIN;Point Guard;83.56;228.00;28.81
Kirk Saarloos;CIN;Point Guard;76.15;209.00;27.77
Elizardo Ramirez;CIN;Point Guard;76.15;171.00;24.09
Todd Coffey;CIN;Center;81.44;218.50;26.47
Brian Shackelford;CIN;Center;77.21;185.25;30.5
Bill Bray;CIN;Center;79.33;204.25;23.74
Bobby Livingston;CIN;Center;79.33;180.50;24.49
Matt Belisle;CIN;Center;79.33;185.25;26.73
Gary Majewski;CIN;Center;77.21;204.25;27.01
Mike Stanton;CIN;Center;77.21;204.25;39.75
Brad Salmon;CIN;Center;80.38;209.00;27.16
Jared Burton;CIN;Center;81.44;209.00;25.74
David Weathers;CIN;Center;79.33;218.50;37.43
Rheal Cormier;CIN;Center;74.04;185.25;39.85
Yorvit Torrealba;COL;Point Guard;75.10;180.50;28.62
Chris Iannetta;COL;Point Guard;75.10;185.25;23.9
Alvin Colina;COL;Point Guard;79.33;198.55;25.18
Todd Helton;COL;Center;78.27;193.80;33.53
Jamey Carroll;COL;Small Forward;72.98;161.50;33.03
Kaz Matsui;COL;Small Forward;74.04;175.75;31.35
Troy Tulowitzki;COL;Power Forward;79.33;194.75;22.39
Clint Barmes;COL;Power Forward;76.15;166.25;27.99
Garrett Atkins;COL;Small Forward;79.33;199.50;27.22
Ryan Spilborghs;COL;Shooting Guard;77.21;180.50;27.49
Cory Sullivan;COL;Shooting Guard;76.15;171.00;27.53
Jeff Salazar;COL;Shooting Guard;76.15;171.00;26.26
Willy Taveras;COL;Shooting Guard;76.15;152.00;25.18
Matt Holliday;COL;Shooting Guard;80.38;223.25;27.12
Brad Hawpe;COL;Shooting Guard;79.33;190.00;27.69
Jeff Baker;COL;Shooting Guard;78.27;199.50;25.69
Javy Lopez;COL;Small Forward;79.33;212.80;36.32
Byung-Hyun Kim;COL;Point Guard;72.98;171.00;28.11
Rodrigo Lopez;COL;Point Guard;77.21;180.50;31.21
Brian Lawrence;COL;Point Guard;76.15;187.15;30.8
Josh Fogg;COL;Point Guard;76.15;192.85;30.21
Aaron Cook;COL;Point Guard;79.33;194.75;28.06
Denny Bautista;COL;Point Guard;81.44;161.50;26.52
Ubaldo Jimenez;COL;Point Guard;80.38;190.00;23.1
Jason Hirsh;COL;Point Guard;84.62;237.50;25.02
Jeff Francis;COL;Point Guard;81.44;190.00;26.14
Taylor Buchholz;COL;Point Guard;80.38;209.00;25.38
Ryan Speier;COL;Center;83.56;190.00;27.6
Ramon Ramirez;COL;Center;75.10;180.50;25.5
Manny Corpas;COL;Center;79.33;161.50;24.24
Juan Morillo;COL;Center;77.21;180.50;23.32
Brian Fuentes;COL;Center;80.38;209.00;31.56
LaTroy Hawkins;COL;Center;81.44;204.25;34.19
Tom Martin;COL;Center;77.21;195.70;36.78
Jeremy Affeldt;COL;Center;80.38;204.25;27.73
Paul Lo Duca;NYM;Point Guard;74.04;175.75;34.88
Ramon Castro;NYM;Point Guard;79.33;223.25;31
Julio Franco;NYM;Center;77.21;178.60;48.52
Carlos Delgado;NYM;Center;79.33;218.50;34.68
Jose Valentin;NYM;Small Forward;74.04;185.25;37.38
Anderson Hernandez;NYM;Small Forward;72.98;159.60;24.33
Damion Easley;NYM;Power Forward;75.10;180.50;37.3
Jose Reyes;NYM;Power Forward;76.15;152.00;23.72
David Wright;NYM;Small Forward;76.15;190.00;24.19
Ben Johnson;NYM;Shooting Guard;77.21;190.00;25.7
Endy Chavez;NYM;Shooting Guard;74.04;179.55;29.06
David Newhan;NYM;Shooting Guard;74.04;171.00;33.48
Carlos Beltran;NYM;Shooting Guard;77.21;180.50;29.85
Shawn Green;NYM;Shooting Guard;80.38;190.00;34.3
Moises Alou;NYM;Shooting Guard;79.33;209.00;40.66
Lastings Milledge;NYM;Shooting Guard;76.15;177.65;21.9
Alay Soler;NYM;Point Guard;77.21;228.00;27.39
Mike Pelfrey;NYM;Point Guard;83.56;180.50;23.13
Pedro Martinez;NYM;Point Guard;75.10;171.00;35.35
Tom Glavine;NYM;Point Guard;76.15;175.75;40.93
Chan Ho Park;NYM;Point Guard;78.27;199.50;33.67
Orlando Hernandez;NYM;Point Guard;78.27;209.00;37.39
Dave Williams;NYM;Point Guard;78.27;208.05;27.97
Oliver Perez;NYM;Point Guard;76.15;180.50;25.54
John Maine;NYM;Point Guard;80.38;183.35;25.81
Marcos Carvajal;NYM;Center;80.38;166.25;22.53
Ambiorix Burgos;NYM;Center;76.15;171.00;22.86
Jason Vargas;NYM;Center;76.15;204.25;24.07
Jon Adkins;NYM;Center;75.10;199.50;29.5
Juan Padilla;NYM;Center;76.15;190.00;30.03
Duaner Sanchez;NYM;Center;76.15;180.50;27.38
Pedro Feliciano;NYM;Center;74.04;175.75;30.51
Aaron Heilman;NYM;Center;81.44;209.00;28.3
Jorge Sosa;NYM;Center;78.27;161.50;29.84
Scott Schoeneweis;NYM;Center;76.15;185.25;33.41
Guillermo Mota;NYM;Center;80.38;194.75;33.6
Billy Wagner;NYM;Center;75.10;185.25;35.6
Philip Humber;NYM;Center;80.38;199.50;24.19
Brad Ausmus;HOU;Point Guard;75.10;180.50;37.88
Humberto Quintero;HOU;Point Guard;77.21;180.50;27.56
Hector Gimenez;HOU;Point Guard;74.04;171.00;24.42
Lance Berkman;HOU;Center;77.21;209.00;31.05
Mike Lamb;HOU;Center;77.21;180.50;31.56
Mark Loretta;HOU;Small Forward;76.15;176.70;35.55
Craig Biggio;HOU;Small Forward;75.10;175.75;41.21
Brooks Conrad;HOU;Small Forward;75.10;180.50;27.12
Chris Burke;HOU;Small Forward;75.10;171.00;26.97
Eric Bruntlett;HOU;Small Forward;76.15;180.50;28.92
Adam Everett;HOU;Power Forward;76.15;161.50;30.06
Morgan Ensberg;HOU;Small Forward;78.27;199.50;31.51
Carlos Lee;HOU;Shooting Guard;78.27;228.00;30.69
Jason Lane;HOU;Shooting Guard;78.27;209.00;30.19
Orlando Palmeiro;HOU;Shooting Guard;75.10;171.00;38.11
Luke Scott;HOU;Shooting Guard;76.15;199.50;28.68
Charlton Jimerson;HOU;Shooting Guard;79.33;199.50;27.44
Fernando Nieve;HOU;Point Guard;76.15;185.25;24.63
Wandy Rodriguez;HOU;Point Guard;75.10;152.00;28.11
Brandon Backe;HOU;Point Guard;76.15;171.00;28.9
Matt Albers;HOU;Point Guard;76.15;194.75;24.11
Woody Williams;HOU;Point Guard;76.15;190.00;40.53
Roy Oswalt;HOU;Point Guard;76.15;175.75;29.5
Jason Jennings;HOU;Point Guard;78.27;232.75;28.62
Miguel Asencio;HOU;Center;78.27;180.50;26.42
Brad Lidge;HOU;Center;81.44;199.50;30.18
Trever Miller;HOU;Center;79.33;190.00;33.75
David Borkowski;HOU;Center;77.21;190.00;30.06
Dan Wheeler;HOU;Center;79.33;210.90;29.22
Paul Estrada;HOU;Center;77.21;204.25;24.47
Lincoln Holdzkom;HOU;Center;80.38;228.00;24.94
Chris Sampson;HOU;Center;76.15;161.50;28.77
Chad Qualls;HOU;Center;81.44;209.00;28.54
Ezequiel Astacio;HOU;Center;79.33;148.20;27.32
Mike Lieberthal;LA;Point Guard;76.15;180.50;35.12
Russell Martin;LA;Point Guard;75.10;191.90;24.04
Olmedo Saenz;LA;Center;75.10;209.95;36.39
James Loney;LA;Center;79.33;190.00;22.81
Nomar Garciaparra;LA;Center;76.15;180.50;33.6
Jeff Kent;LA;Small Forward;77.21;199.50;38.98
Ramon Martinez;LA;Small Forward;77.21;180.50;34.39
Marlon Anderson;LA;Small Forward;75.10;190.00;33.15
Rafael Furcal;LA;Power Forward;74.04;156.75;29.35
Wilson Betemit;LA;Small Forward;79.33;180.50;26.59
Andy LaRoche;LA;Small Forward;75.10;175.75;23.46
Matt Kemp;LA;Shooting Guard;80.38;218.50;22.43
Andre Ethier;LA;Shooting Guard;77.21;197.60;24.89
Delwyn Young;LA;Shooting Guard;71.92;198.55;24.67
Jason Repko;LA;Shooting Guard;75.10;166.25;26.17
Juan Pierre;LA;Shooting Guard;76.15;171.00;29.54
Luis Gonzalez;LA;Shooting Guard;78.27;190.00;39.49
Jason Schmidt;LA;Point Guard;81.44;194.75;34.08
Randy Wolf;LA;Point Guard;76.15;190.00;30.52
Brad Penny;LA;Point Guard;80.38;237.50;28.77
Derek Lowe;LA;Point Guard;82.50;199.50;33.75
Mark Hendrickson;LA;Point Guard;85.67;218.50;32.69
Chad Billingsley;LA;Point Guard;76.15;231.80;22.59
Takashi Saito;LA;Center;77.21;191.90;37.04
Jonathan Broxton;LA;Center;80.38;228.00;22.7
Hong-Chih Kuo;LA;Center;76.15;190.00;25.6
Eric Stults;LA;Center;76.15;204.25;27.23
Chin-Hui Tsao;LA;Center;78.27;168.15;25.74
Tim Hamulack;LA;Center;80.38;199.50;30.29
Yhency Brazoban;LA;Center;77.21;161.50;26.72
Brett Tomko;LA;Center;80.38;204.25;33.9
Joe Beimel;LA;Center;79.33;206.15;29.86
Elmer Dessens;LA;Center;74.04;188.10;36.13
Ryan Budde;PHI;Point Guard;75.10;190.00;27.54
Rod Barajas;PHI;Point Guard;78.27;209.00;31.49
Carlos Ruiz;PHI;Point Guard;76.15;161.50;28.1
Chris Coste;PHI;Point Guard;77.21;190.00;34.07
Ryan Howard;PHI;Center;80.38;218.50;27.28
Wes Helms;PHI;Center;80.38;219.45;30.8
Chase Utley;PHI;Small Forward;77.21;173.85;28.2
Danny Sandoval;PHI;Small Forward;75.10;182.40;27.9
Jimmy Rollins;PHI;Power Forward;71.92;158.65;28.26
Abraham Nu?ez;PHI;Small Forward;75.10;180.50;30.96
Michael Bourn;PHI;Shooting Guard;75.10;171.00;24.18
Chris Roberson;PHI;Shooting Guard;78.27;171.00;27.52
Jayson Werth;PHI;Shooting Guard;81.44;204.25;27.78
Shane Victorino;PHI;Shooting Guard;72.98;152.00;26.25
Aaron Rowand;PHI;Shooting Guard;76.15;194.75;29.5
Pat Burrell;PHI;Shooting Guard;80.38;211.85;30.39
Greg Dobbs;PHI;Small Forward;77.21;194.75;28.66
Cole Hamels;PHI;Point Guard;79.33;166.25;23.18
Alfredo Simon;PHI;Point Guard;80.38;161.50;25.81
Scott Mathieson;PHI;Point Guard;79.33;180.50;23.01
Freddy Garcia;PHI;Point Guard;80.38;228.00;31.72
Jamie Moyer;PHI;Point Guard;76.15;166.25;44.28
Jon Lieber;PHI;Point Guard;78.27;218.50;36.91
Brett Myers;PHI;Point Guard;80.38;211.85;26.54
Adam Eaton;PHI;Point Guard;78.27;186.20;29.27
Geoff Geary;PHI;Center;76.15;158.65;30.51
Clay Condrey;PHI;Center;79.33;185.25;31.28
Ryan Madson;PHI;Center;82.50;180.50;26.51
Antonio Alfonseca;PHI;Center;81.44;237.50;34.87
Tom Gordon;PHI;Center;74.04;180.50;39.28
Brian Sanches;PHI;Center;76.15;180.50;28.56
Jim Ed Warden;PHI;Center;83.56;180.50;27.82
Anderson Garcia;PHI;Center;78.27;161.50;25.94
Eude Brito;PHI;Center;75.10;152.00;28.53
Fabio Castro;PHI;Center;71.92;142.50;22.11
Matt Smith;PHI;Center;81.44;213.75;27.71
Damian Miller;MLW;Point Guard;79.33;209.00;37.38
Johnny Estrada;MLW;Point Guard;75.10;198.55;30.67
Mike Rivera;MLW;Point Guard;76.15;199.50;30.48
J.D. Closser;MLW;Point Guard;74.04;167.20;27.12
Prince Fielder;MLW;Center;76.15;247.00;22.81
Rickie Weeks;MLW;Small Forward;76.15;185.25;24.46
Tony Graffanino;MLW;Small Forward;77.21;180.50;34.73
Craig Counsell;MLW;Power Forward;76.15;174.80;36.53
J.J. Hardy;MLW;Power Forward;78.27;171.00;24.53
Bill Hall;MLW;Power Forward;76.15;185.25;27.17
Vinny Rottino;MLW;Small Forward;76.15;185.25;26.9
Corey Koskie;MLW;Small Forward;79.33;208.05;33.67
Kevin Mench;MLW;Shooting Guard;76.15;213.75;29.14
Geoff Jenkins;MLW;Shooting Guard;77.21;201.40;32.61
Brady Clark;MLW;Shooting Guard;78.27;191.90;33.87
Tony Gwynn Jr.;MLW;Shooting Guard;76.15;175.75;24.41
Corey Hart;MLW;Shooting Guard;82.50;190.00;24.94
Gabe Gross;MLW;Shooting Guard;79.33;198.55;27.36
Laynce Nix;MLW;Shooting Guard;76.15;190.00;26.33
Drew Anderson;MLW;Shooting Guard;78.27;185.25;25.72
Claudio Vargas;MLW;Point Guard;79.33;216.60;28.7
Chris Capuano;MLW;Point Guard;79.33;199.50;28.53
Ben Hendrickson;MLW;Point Guard;80.38;180.50;26.07
Dave Bush;MLW;Point Guard;78.27;201.40;27.31
Carlos Villanueva;MLW;Point Guard;78.27;180.50;23.26
Ben Sheets;MLW;Point Guard;77.21;207.10;28.62
Jeff Suppan;MLW;Point Guard;78.27;209.00;32.16
Brian Shouse;MLW;Center;75.10;180.50;38.43
Francisco Cordero;MLW;Center;78.27;223.25;31.81
Derrick Turnbow;MLW;Center;79.33;199.50;29.1
Matt Wise;MLW;Center;80.38;190.00;31.28
Grant Balfour;MLW;Center;78.27;178.60;29.17
Dennis Sarfate;MLW;Center;80.38;199.50;25.89
Jose Capellan;MLW;Center;80.38;223.25;26.13
Greg Aquino;MLW;Center;77.21;178.60;29.13
Josh Bard;SD;Point Guard;79.33;204.25;28.92
Rob Bowen;SD;Point Guard;79.33;205.20;26.01
Adrian Gonzalez;SD;Center;78.27;209.00;24.81
Marcus Giles;SD;Small Forward;71.92;171.00;28.79
Todd Walker;SD;Small Forward;76.15;175.75;33.77
Geoff Blum;SD;Power Forward;79.33;190.00;33.85
Khalil Greene;SD;Power Forward;75.10;199.50;27.36
Paul McAnulty;SD;Shooting Guard;74.04;209.00;26.01
Terrmel Sledge;SD;Shooting Guard;76.15;175.75;29.95
Jack Cust;SD;Shooting Guard;77.21;219.45;28.12
Jose Cruz Jr.;SD;Shooting Guard;76.15;199.50;32.87
Russell Branyan;SD;Shooting Guard;79.33;185.25;31.2
Mike Cameron;SD;Shooting Guard;78.27;190.00;34.14
Brian Giles;SD;Shooting Guard;74.04;194.75;36.11
Kevin Kouzmanoff;SD;Small Forward;77.21;190.00;25.6
Mike Thompson;SD;Point Guard;80.38;190.00;26.31
Clay Hensley;SD;Point Guard;75.10;180.50;27.5
Chris Young;SD;Point Guard;86.73;237.50;27.77
Greg Maddux;SD;Point Guard;76.15;175.75;40.88
Jake Peavy;SD;Point Guard;77.21;171.00;25.75
Scott Cassidy;SD;Center;78.27;161.50;31.41
Scott Strickland;SD;Center;75.10;171.00;30.84
Scott Linebrink;SD;Center;79.33;197.60;30.57
Doug Brocail;SD;Center;81.44;223.25;39.79
Trevor Hoffman;SD;Center;76.15;204.25;39.38
Heath Bell;SD;Center;78.27;231.80;29.42
Royce Ring;SD;Center;76.15;209.00;26.19
Cla Meredith;SD;Center;77.21;175.75;23.74
Andrew Brown;SD;Center;82.50;218.50;26.03
Mike Adams;SD;Center;81.44;180.50;28.59
Justin Hampson;SD;Center;77.21;190.00;26.77
Kevin Cameron;SD;Center;77.21;171.00;27.21
Ryan Ketchner;SD;Center;77.21;180.50;24.87
Brian Schneider;WAS;Point Guard;77.21;186.20;30.26
Jesus Flores;WAS;Point Guard;77.21;171.00;22.34
Larry Broadway;WAS;Center;80.38;218.50;26.2
Nick Johnson;WAS;Center;79.33;212.80;28.45
Bernie Castro;WAS;Small Forward;74.04;152.00;27.63
Josh Wilson;WAS;Power Forward;77.21;169.10;25.93
Cristian Guzman;WAS;Power Forward;76.15;194.75;28.94
Felipe Lopez;WAS;Power Forward;77.21;175.75;26.8
Ryan Zimmerman;WAS;Small Forward;79.33;199.50;22.42
Nook Logan;WAS;Shooting Guard;78.27;171.00;27.26
Ryan Church;WAS;Shooting Guard;77.21;180.50;28.38
Kory Casto;WAS;Shooting Guard;77.21;190.00;25.23
Mike Restovich;WAS;Shooting Guard;80.38;244.15;28.16
Alex Escobar;WAS;Shooting Guard;77.21;180.50;28.48
Austin Kearns;WAS;Shooting Guard;79.33;209.00;26.78
Chris Snelling;WAS;Shooting Guard;74.04;156.75;25.24
Billy Traber;WAS;Point Guard;81.44;194.75;27.45
Tim Redding;WAS;Point Guard;76.15;190.00;29.05
John Patterson;WAS;Point Guard;81.44;197.60;29.08
Shawn Hill;WAS;Point Guard;78.27;175.75;25.84
Joel Hanrahan;WAS;Point Guard;79.33;204.25;25.4
Mike O'Connor;WAS;Point Guard;79.33;161.50;26.54
Emiliano Fruto;WAS;Center;79.33;223.25;22.73
Chris Schroder;WAS;Center;79.33;199.50;28.53
Brett Campbell;WAS;Center;76.15;161.50;25.37
Beltran Perez;WAS;Center;78.27;171.00;25.35
Levale Speigner;WAS;Center;75.10;161.50;26.43
Jason Bergmann;WAS;Center;80.38;180.50;25.43
Saul Rivera;WAS;Center;75.10;142.50;29.23
Chris Booker;WAS;Center;79.33;218.50;30.22
Micah Bowie;WAS;Center;80.38;192.85;32.3
Jon Rauch;WAS;Center;87.79;247.00;28.42
Jerome Williams;WAS;Center;79.33;233.70;25.24
Luis Ayala;WAS;Center;78.27;176.70;29.13
Ryan Wagner;WAS;Center;80.38;199.50;24.63
Chad Cordero;WAS;Center;76.15;188.10;24.95
Humberto Cota;PIT;Point Guard;76.15;199.50;28.06
Ronny Paulino;PIT;Point Guard;79.33;204.25;25.86
Adam LaRoche;PIT;Center;79.33;171.00;27.32
Ryan Doumit;PIT;Center;76.15;190.00;25.91
Brad Eldred;PIT;Center;81.44;232.75;26.63
Jose Castillo;PIT;Small Forward;77.21;190.00;25.95
Jack Wilson;PIT;Power Forward;76.15;182.40;29.17
Freddy Sanchez;PIT;Small Forward;74.04;182.40;29.19
Jason Bay;PIT;Shooting Guard;78.27;190.00;28.44
Jose Bautista;PIT;Shooting Guard;76.15;182.40;26.36
Xavier Nady;PIT;Shooting Guard;78.27;194.75;28.29
Jody Gerut;PIT;Shooting Guard;76.15;180.50;29.45
